Nº REG;NOMBRE;DOMICILIO;nº;Nº Expte;Capacidad;Clase;Estado;Disp nº;Fecha Disp. Inscripción;Disp nº;Fecha Disp. Re-Inscripción;Disp. de rechazo nº ;fecha disposición de rechazo;Disposición de recalculo capacidad nº;Fecha disposición de  capacidad
40;MUSEUM;PERU ;529;10666/05;1952 personas;C;INSCRIPCION VENCIDA;43;22/03/2005;36;27/03/2009;;;80;13/07/2005
41;ANGEL´S DISCO;VIAMONTE ;2168/70;11627/05;425 personas;C;RENOVADO 2012;44;22/03/2005;52;29/03/2012;;;92;29/07/2005
42;SODOMA;VICENTE LOPEZ ;2233;10671/05;300  personas;C.C;"SUSPENDIDO Disp. Nº26/DGHP/08";45;22/03/2005;1;18/01/2007;;;1;18/01/2007
43;CLUB ARÁOZ;ARAOZ ;2422;10824/05;1030 personas;C;RENOVADO 2012;46;23/03/2005;6;10/02/2012;;;73;17/06/2005
44;MANDARINE;"R. OBLIGADO Y SARMIENTO";sin nº;10611/05;1613 personas;C;RENOVADO 2012;47;23/03/2005;24;06/03/2012;;;38;23/03/2009
45;HORALA (EX LA DIOSA);R. OBLIGADO ;3731;10604/05;1558 personas;C;RENOVADO 2011;48;23/03/2005;107;29/09/2011;;;107;29/09/2011
46;EL FOGÓN;AGÜERO ;512;13661/05;274 personas;C.C;BAJA INSC: Disp N°94/12;49;23/03/2005;46;23/03/2012;;;55;23/03/2006
47;SALON AGUSTEO;SARMIENTO ;1374;10587/05;;ART 1º;"BAJA INSC: Disp. Nº 30/DGHP/2008";50;23/03/2005;;;;;;
48;FANTASTICO;AV. RIVADAVIA ;3469;10660/05;1270 personas;C;RENOVADO 2012;51;01/04/2005;90;27/06/2012;10;14/02/2006;160;22/12/2005
49;ROXY CLUB;F. LACROZE ;3453;10621/05;1584 personas;C.C;RENOVADO 2012;52;01/04/2005;100;27/07/2012;;;7;04/01/2006
50;PAGANA;VICENTE LOPEZ ;2134;13361/05;364 personas;C.C;RENOVADO 2012;53;21/04/2005;74;24/05/2012; ;;66;21/04/2006
51;POPULARISIMO ;BARTOLOME MITRE ;2737;10662/05;200 personas;C;BAJA DE INSCRIPCION ;4;14/02/2007;71;05/05/2006;;;71;05/05/2006
52;EL PICAFLOR;AV. CORRIENTES ;3530;10580/05;662 personas;C;RENOVADO 2012;56;04/05/2005;98;19/07/2012;69;04/05/2006;84;10/08/2007
53;DOME;AV CABILDO ;4665;14497/05;1297 personas;C;RENOVADO 2012;57;04/05/2005;69;16/05/2012;;;122;18/08/2005
54;THE SHAMROCK;RODRIGUEZ PEÑA ;1220;10556/05;396 personas;C.C;RENOVADO 2012;64;18/05/2005;72;22/05/2012;;;63;12/05/2006
55;CLUB 74;"FIGUEROA ALCORTA ";7474;10836/05;180 personas;B;RENOVADO 2012;65;18/05/2005;77;08/06/2012;;;76;01/06/2006
56;MONTECARLO;MEXICO ;1861/63;10673/05;460 personas;C;RENOVADO 2012;66;08/06/2005;79;08/06/2012;;;6;10/01/2006
57;PHUKET;AV. LA PLATA  ;731/33;20810/05;1593 personas;C.C;RENOVADO 2012;67;08/06/2005;78;08/06/2012;;;67;08/06/2005
58;CATTOS;SUIPACHA ;930;20218/05;100 personas;C.C;RENOVADO 2012;68;08/06/2005;80;08/06/2012;;;93;04/08/2005
59;INK;NICETO VEGA  ;5635;20819/05;409 personas;C.C;RENOVADO 2012;69;08/06/2005;93;29/06/2012;;;79;09/06/2006
60;RADIO STUDIO;O`BRIEN ;1232;20814/05;3050 personas;C;RENOVADO 2012;72;13/06/2005;111;21/08/2012;;;104;27/11/2008
61;EL TEATRITO;SARMIENTO ;777;24459/05;538 personas;C;"BAJA  INSC: Disp. Conjunta 92/2010";74;17/06/2005;105;19/11/2009;;;127;17/11/2006
62;AMERIKA;GASCON  ;1036;10601/05;1866 personas;C;RENOVADO 2011;84;14/07/2005;133;18/11/2011;;;;
63;REQUIEM GOTIC;AV. DE MAYO  ;948;24460/05;186 personas;C.C;INSCRIPCION VENCIDA;85;19/07/2005;90;10/07/2006;;;19;06/03/2006
64;GREAT CITY;RECONQUISTA;876/78;14498/05;208 personas;C.C;RENOVADO 2012;87;22/07/2005;101;30/07/2012;;;5;10/01/2006
65;PACHA;"COSTANERA Y PAMPA";sin nº;30712/05;1942 personas;C;RENOVADO 2012;91;29/07/2005;109;17/08/2012;;;105;20/08/2010
66;MADAHOS;AZCUENAGA;1902;14781/05;396 personas;C;SUSPENDIDO;128;15/09/2005;103;13/09/2011;;;128;15/09/2005
67;THE FLOWER;AGÜERO;445;46266/05;405 personas;C;RENOVADO 2011;156;18/11/2005;135;18/11/2011;;;156;18/11/2005
68;LE CLICK;AV. RIVADAVIA;1908/12;50478/05;990 personas;C.C;RENOVADO 2011;159;14/12/2005;142;06/12/2011;;;159;14/12/2005
69;MBURUCUYA;SALTA;1736/48;61556/05;1140 personas;CLUB ART 1º;RENOVADO 2012;7;13/01/2006;4;03/02/2012;;;7;13/01/2006
70;ASBURY ROCK;RIVADAVIA;7523;36839/05;216 personas;C.C;RENOVACIÓN 2012;12;21/02/2006;29;09/03/2012;;;12;21/02/2006
71;PISO 1;JUNIN;1787;76735/05;150 personas;C.C;"BAJA INSC: Disp. Conjunta N°005/2010";45;23/03/2006;;;;;45;23/03/2006
72;CROBAR;AV. LIBERTADOR;3883;62123/05;2258 personas;C;RENOVADO 2012;57;30/03/2006;102;02/08/2012;;;89;09/10/2008
73;ESPERANTO;AV JUAN B. JUSTO;1625;86918/05;572 personas;C.C;RENOVADO 2012;59;03/04/2006;48;30/03/2012;;;8;22/01/2010
74;MÁGICO;AV. RIVADAVIA;10925;61559/05;1320 personas;C;RENOVADO 2012;74;04/04/2006;57;04/04/2012;;;58;23/04/2007
75;MUNDO LATINO;ESMERALDA ;565 P.B.;10631/05;300 personas;C.C;RENOVADO 2012;62;12/04/2006;60;12/04/2012;;;102;12/11/2009
76;DORSIA;"A.  MOREAU DE JUSTO";2092;12648/06;679 personas;C;RENOVADO 2012;65;21/04/2006;114;24/08/2012;;;83;18/06/2010
77;LA MADELEINE;"A.  MOREAU DE JUSTO";102/112;80621/05;205  personas;C.C;RENOVADO 2012;75;01/06/2006;82;12/06/2012;;;75;01/06/2006
78;LA CITY;"AV. ALVAREZ THOMAS";1391/93;31391/06;940 personas;C;RENOVADO 2011;85;23/06/2006;114;20/10/2011;;;85;23/06/2006
79;BRUJAS;J.L. BORGES;1640;27022/05;232 personas;C;RENOVADO 2012;94;17/07/2006;105;10/08/2012;;;94;17/07/2006
80;CHAPA BAR(EX GALLERY);AZCUENAGA;1775 1º;31389/06;254 personas;C.C;RENOVADO 2012;100;11/08/2006;112;24/08/2012;;;100;11/08/2006
81;UNI CLUB;GUARDIA VIEJA;3360;30099/06;630 personas;C;RENOVADO 2012;101;11/08/2006;107;13/08/2012;;;97;16/11/2007
82;POR VOS BS AS;BALCARCE ;563 P.B;38142/06;586 personas;C;"BAJA INSC: Disp. Nº 002/2010";122;02/11/2006;98;12/11/2008;;;83;29/08/2008
83;LO DE CELIA;"HUMBERTO PRIMO";1783 1°P;9853/06;150 personas;C.C;RENOVADO 2011;123;02/11/2006;121;04/11/2011;;;123;02/11/2006
84;CONTRAMANO;"RODIGUEZ PEÑA ";1082 PB;26278/06;335 personas;C C;RENOVADO 2011;130;15/12/2006;141;06/12/2011;;;56;23/04/2007
85;KIMIA;SANTA FE ;4999;81034/06;958  personas   ;C;INSCRIPCION VENCIDA;3;14/02/2007;79;07/08/2009;;;77;13/07/2007
86;"KORY MEGADISCO";AV. SAENZ;459;83809/06;2346 personas;C;RENOVADO 2012;5;23/02/2007;9;17/02/2012;;;90;23/10/2008
87;SEU DISCO;AV. BOYACA ;28;72,693/05;186 personas;C.C;RENOVADO 2012;34;16/03/2007;41;16/03/2012;;;34;16/03/2007
88;KIKA;HONDURAS;5339/47;44,991/06;1100 personas;C;RENOVADO 2012;35;16/03/2007;47;23/03/2012;;;35;16/03/2007
89;LA VENTANA;BALCARCE ;425/31;89485/06;449 personas;C C;BAJA INSC: DISP. N° 113/12;59;10/05/2007;75;28/05/2012;;;59;10/05/2007
90;COCOLICHE;AV. RIVADAVIA;878;21782/07;268 personas;C;RENOVADO 2012;62;11/05/2007;68;11/05/2012;;;62;11/05/2007
